Region,InstanceType,CPU,Memory,Cost
us-west-2,i3en.6xlarge,24,192 GiB,5.5920000000
ap-southeast-2,m5a.xlarge,4,16 GiB,0.2160000000
eu-south-2,r5d.24xlarge,96,768 GiB,7.6800000000
us-east-1,h1.4xlarge,16,64 GiB,6.9970000000
ap-southeast-2,c6in.12xlarge,48,96 GiB,21.9085200000
me-south-1,r5d.metal,96,768 GiB,44.4480000000
us-west-2,r5ad.4xlarge,16,128 GiB,1.3820000000
ap-northeast-2,c6i.xlarge,4,8 GiB,0.6912000000
eu-west-2,r5a.8xlarge,32,256 GiB,2.2560000000
us-east-1-chi-1,r5d.4xlarge,16,128 GiB,1.7100000000
us-west-2,r6a.large,2,16 GiB,0.5934000000
ap-northeast-1,g5.24xlarge,96,384 GiB,11.8112300000
ap-southeast-2,c6in.xlarge,4,8 GiB,0.8057100000
ap-east-1,c5d.9xlarge,36,72 GiB,6.6750000000
eu-central-1,c5n.xlarge,4,10.5 GiB,0.2460000000
eu-west-1,m6idn.xlarge,4,16 GiB,0.4588500000
us-east-1,g5.4xlarge,16,64 GiB,1.6240000000
ap-east-1,r5d.2xlarge,8,64 GiB,3.7420000000
eu-central-1,g4dn.xlarge,4,16 GiB,0.6580000000
eu-west-2,r5ad.16xlarge,64,512 GiB,6.3080000000
us-east-1-mci-1,r5d.2xlarge,8,64 GiB,3.7630000000
ap-southeast-1,r6in.2xlarge,8,64 GiB,0.9682400000
us-west-2,c6id.large,2,4 GiB,0.1784800000
us-east-1,g4dn.8xlarge,32,128 GiB,2.1760000000
af-south-1,c6i.32xlarge,128,256 GiB,55.2960000000
eu-west-1,r5b.24xlarge,96,768 GiB,44.0160000000
eu-west-1,m6a.12xlarge,48,192 GiB,8.0712000000
us-east-1-msp-1,r5d.2xlarge,8,64 GiB,0.7630000000
me-central-1,m6i.xlarge,4,16 GiB,1.7354000000
af-south-1,r5dn.24xlarge,96,768 GiB,22.1280000000
me-south-1,c5n.large,2,5.25 GiB,0.1340000000
eu-south-2,m5.24xlarge,96,384 GiB,6.7580000000
ap-northeast-1,m6id.16xlarge,64,256 GiB,12.5856000000
ap-northeast-3,i4i.metal,128,1024 GiB,28.2430000000
eu-central-2,c5.9xlarge,36,72 GiB,15.4210000000
us-gov-east-1,r6i.16xlarge,64,512 GiB,12.9952000000
